State (HQ),Firm,HQ City,Firm Type,Website,Gov Sector Strengths,2025 Standing / Source,CEU Fit,Priority,Angle / Entry Notes,Assigned Rep Agency,Status,Course to Book,Target Office / City,Contact Name,Contact Title,Contact Email / Phone,Outreach Date,L&L Date,Next Action,Notes
AL,Goodwyn Mills Cawood (GMC),Birmingham,A/E (Integrated),gmcnetwork.com,Justice / municipal (Southeast),#6 Justice Facility Architecture (2024),COR,Tier 1,Southeast county/state corrections volume; in-house engineering.,,Not Started,,,,,,,,,
AR,Cromwell Architects Engineers,Little Rock,A/E (Integrated),cromwell.com,Federal,Established federal A/E,FED,Tier 2,Long-running Little Rock federal practice.,,Not Started,,,,,,,,,
AR,Garver,North Little Rock,Engineering (multi),garverusa.com,Aviation / federal,Regional engineering leader,FED,Tier 3,Aviation/civil-led; buildings MEP is smaller.,,Not Started,,,,,,,,,
AZ,Arrington Watkins Architects,Phoenix,Architecture,(verify domain),Corrections / justice specialist,Recognized corrections niche firm,COR,Tier 1,Corrections-pure practice; small firm = fast L&L booking.,,Not Started,,,,,,,,,
AZ,Orcutt | Winslow,Phoenix,Architecture,orcuttwinslow.com,VA / healthcare / senior living,Top 6 VA Facility Architecture (2024),FED,Tier 2,VA standing in the Southwest.,,Not Started,,,,,,,,,
CA,Gensler,San Francisco,Architecture,gensler.com,"Federal (GSA, courthouses)",#2 Federal Gov Building Architecture (2025),FED,Tier 3,National giant; target specific offices via local reps only.,,Not Started,,,,,,,,,
CA,Introba,Oakland (verify),MEP Engineering,introba.com,Justice / institutional,Justice Facility Engineering ranked (2024),COR,Tier 2,Formed from Integral Group + Ross & Baruzzini; justice practice via R&B legacy.,,Not Started,,,,,,,,,
CA,Mazzetti,San Francisco,MEP Engineering,mazzetti.com,VA / healthcare,National healthcare/VA MEP practice,FED,Tier 1,Healthcare MEP specialist with VA flow.,,Not Started,,,,,,,,,
CA,P2S,Long Beach,MEP Engineering,p2sinc.com,VA / federal healthcare,Top 10 VA Facility Engineering (2025),FED,Tier 1,VA-heavy MEP; West Coast VA network fit.,,Not Started,,,,,,,,,
CA,Salas O'Brien,Irvine,MEP Engineering (rollup),salasobrien.com,Military / federal / VA,Top 10 Military Facility Engineering (2025),FED+COR,Tier 1,Fast-growing MEP consolidator; many local offices = many L&L slots.,,Not Started,,,,,,,,,
CA,Tetra Tech,Pasadena,Engineering (multi),tetratech.com,Federal / justice,Justice Facility Engineering ranked (2023-24),FED+COR,Tier 3,Huge federal services firm; buildings MEP is a subset.,,Not Started,,,,,,,,,
CO,Arcadis North America,Highlands Ranch,A/E (Integrated),arcadis.com,Federal (GSA/DoD),#3 Federal Gov Building Architecture (2025),FED,Tier 3,Global giant; pursue office-by-office.,,Not Started,,,,,,,,,
CO,Fentress Architects,Denver,Architecture,fentressarchitects.com,Federal courthouses / civic / airports,National federal courthouse portfolio,FED,Tier 2,GSA courthouse design pedigree.,,Not Started,,,,,,,,,
CO,Merrick & Company,Greenwood Village,A/E (Integrated),merrick.com,Federal secure / DoE / national labs,Established federal secure-facility A/E,FED,Tier 1,Secure/classified facility design - direct Federal Secure Facilities HSW fit.,,Not Started,,,,,,,,,
DC,Setty,Washington,MEP Engineering,setty.com,Federal / GSA / DoD,Federal MEP specialist (NCR),FED,Tier 1,National Capital Region MEP with deep federal spec influence.,,Not Started,,,,,,,,,
FL,BRPH,Melbourne,A/E (Integrated),brph.com,DoD / space / secure industrial,Federal secure + launch/industrial specialist,FED,Tier 1,Secure mission facilities; Federal course fit.,,Not Started,,,,,,,,,
FL,CGL Companies,Miami,Justice Planning / A-E Services,cglcompanies.com,Corrections planning & consulting,National corrections planning practice,COR,Tier 2,Shapes correctional programs upstream of design.,,Not Started,,,,,,,,,
FL,NV5,Hollywood,Engineering (multi),nv5.com,Federal / commissioning,National engineering + Cx platform,FED,Tier 2,Federal MEP and commissioning practices (incl. legacy Sebesta).,,Not Started,,,,,,,,,
FL,RLF Architecture + Engineering + Interiors,Orlando,A/E (Integrated),(verify domain),DoD healthcare / VA / military,#3 Military Facility Architecture; Top 10 VA Architecture (2025),FED,Tier 1,DHA/VA healthcare design leader; in-house MEP.,,Not Started,,,,,,,,,
FL,RS&H,Jacksonville,A/E (Integrated),rsandh.com,Military / aerospace / federal,#4 Military Facility Architecture (2025),FED,Tier 1,NAVFAC/AF-heavy; near major Navy concentration.,,Not Started,,,,,,,,,
FL,TLC Engineering Solutions,Orlando,MEP Engineering,tlc-engineers.com,Healthcare / VA / federal,National healthcare MEP practice,FED,Tier 1,Southeast healthcare/VA MEP heavyweight.,,Not Started,,,,,,,,,
GA,Newcomb & Boyd,Atlanta,MEP Engineering,newcomb-boyd.com,Federal / DoD,Established federal MEP consultant,FED,Tier 1,Blue-chip Southeast MEP with long federal record.,,Not Started,,,,,,,,,
GA,Pond & Company,Peachtree Corners (Atlanta),A/E (Integrated),pondco.com,"Federal / DoD (USACE, NAVFAC, AF)","Established federal A/E, national IDIQ holder",FED,Tier 1,Full-service federal A/E with in-house electrical.,,Not Started,,,,,,,,,
GA,Stevens & Wilkinson,Atlanta,A/E (Integrated),stevenswilkinson.com,Federal / justice / state,Regional A/E with public-sector base,FED+COR,Tier 2,Georgia/SC public-sector coverage.,,Not Started,,,,,,,,,
IA,Stanley Consultants,Muscatine,Engineering (multi),stanleyconsultants.com,DoD / federal,Established military/federal engineering firm,FED,Tier 1,Long-running DoD engineering practice.,,Not Started,,,,,,,,,
IL,EXP,Chicago (US),Engineering (multi),exp.com,Justice / federal,#2 Justice Facility Engineering (2025),COR,Tier 1,Justice MEP leader; corrections HSW is the door-opener.,,Not Started,,,,,,,,,
IL,Farnsworth Group,Bloomington,A/E (Integrated),f-w.com,Federal / municipal,Regional A/E with federal work,FED,Tier 2,Midwest federal coverage.,,Not Started,,,,,,,,,
IL,Hanson Professional Services,Springfield,Engineering (multi),hanson-inc.com,Federal / DoD,Regional engineering with federal practice,FED,Tier 2,Midwest federal engineering.,,Not Started,,,,,,,,,
IL,IMEG,Rock Island,MEP Engineering,imegcorp.com,VA / justice / federal,#1 VA Facility Engineering; #4 Justice Facility Engineering (2025),FED+COR,Tier 1,"Highest-leverage single firm in the file: #1 VA, top-5 justice, 80+ offices.",,Not Started,,,,,,,,,
